8290_Sjap|NOG2
8126_Scas|GGC1
8704_Sbay|GAL2
2824_Sbay|HPF1
3352_Sklu|ATG21
2203_Clus|APM2
7075_Kwal|SIL1
3038_Klac|SFH1
804_Scas|SER33
1686_Anid|RPL38
8164_Spar|MGA1
8917_Cgla|GPI14
3939_Smik|HXT3
8236_Spom|MGA1
4124_Smik|HMS2
7438_Spar|BNR1
122_Lelo|VPS15
3998_Scas|HXT3
977_Sbay|RPL16A
4836_Klac|ALG3
321_Agos|LIP8
8885_Cgla|TMA108
8651_Scer|GAL2
7817_Scer|RFX1
7389_Agos|SER3
859_Calb|RPS23A
5999_Ylip|BPL1
6895_Scer|YDL124W
3865_Agos|HSP82
4542_Scer|HMLALPHA2
8400_Scer|ENA5
6074_Scer|HSL1
1446_Sbay|AUT7
2813_Anid|OXA1
675_Ncra|COQ6
2733_Sbay|MIP6
9100_Calb|RPS30A
1917_Ylip|TLO1
828_Kwal|GAT1
8871_Scer|TMA108
2652_Scer|MDH3
6030_Scer|GAL11
6677_Ncra|ISD11
1477_Scas|RPS6A
454_Sbay|LPG20
5791_Ncra|EDS1
3107_Kwal|SIT1
1819_Sbay|DCP2
512_Spom|ENP1
2731_Smik|MIP6
9285_Clus|FPS1
3487_Lelo|PHO88
6630_Cgui|YML131W
6808_Ncra|AIM34
1979_Dhan|RPL37B
4116_Scer|HMS2
5692_Sbay|GRX2
2037_Agos|PGA1
2860_Ctro|YMD8
2646_Anid|ART10
1595_Scas|CKA2
9207_Cpar|RSM24
2600_Sjap|CTK1
280_Calb|RPS7A
7995_Ctro|VID27
6179_Scer|ATG11
7494_Cgui|VPS71
931_Calb|ZCF38
3561_Calb|RPL21A
1570_Clus|PCL2
9145_Dhan|YOR365C
4455_Sjap|GRX3
1781_Scas|PGA18
7630_Sjap|PPH22
409_Clus|MES1
4908_Anid|ALG3
5861_Scer|RHB1
7222_Anid|MAM3
1049_Scer|KTI12
157_Smik|HXK1
5283_Spar|STP1
6125_Spar|ENV10
4163_Dhan|HMS2
3703_Klac|HTA2
9070_Kwal|CDC6
5754_Agos|EDS1
7403_Scer|PMS1
2246_Ctro|ELO1
3253_Scer|YBR238C
3607_Scer|SBH2
5412_Spar|POT1
3974_Cgla|HXT3
6774_Sklu|RMT2
5594_Scer|ADH2
3639_Clus|SGS1
3117_Klac|SIT1
1410_Calb|AMO2
1136_Agos|IFK2
3587_Agos|OAF3
2880_Agos|LPX1
3497_Scer|YDR034W-B
2440_Sklu|EMG1
1405_Agos|AMO2
9398_Klac|HTB2
4910_Ncra|ALG3
2527_Dhan|CBP3
6560_Sbay|SCT1
6077_Spar|HSL1
8464_Sbay|ENA2
865_Sjap|RPS23A
4201_Scer|MON1
1280_Scer|RPS24
6292_Kwal|YMR317W
4178_Cpar|HMS2
7796_Spar|DRS1
2394_Scer|SUR7
8822_Soct|GAL2
5558_Klac|YOR338W
8853_Cgla|FCY21
5821_Scer|VAN1
5218_Sjap|TOM40
7949_Dhan|YAT1
275_Agos|RPS7A
5039_Anid|CIN1
3576_Spar|OAF3
3337_Ylip|TIF4631
5658_Lelo|ADH2
9291_Scer|TMA17
4130_Sbay|HMS2
8480_Clus|ENA2
3284_Cgla|BUB1
8094_Agos|CKA1
3574_Scer|OAF3
2456_Spar|ADP1
408_Agos|MES1
2708_Scer|RRG9
5688_Spar|GRX2
2760_Cgla|EFB1
5221_Scer|YDR034C-A
6002_Sjap|BPL1
6431_Spar|YMR074C
269_Cgla|RPS7A
7048_Agos|IDP3
2424_Cpar|SUR7
893_Calb|RPS4A
3500_Scer|ADE6
61_Sbay|TPS3
1099_Scas|ARP1
4123_Smik|HMS2
3845_Cpar|REX2
3306_Scer|TIF4631
4744_Ctro|BIO5
8903_Scer|GPI14
5021_Scer|CIN1
2763_Klac|EFB1
3169_Scer|DUG1
4058_Sklu|HXT3
